Title,Location,Description,Date,Contract Type
Spécialiste Senior Planning & Geoma ... (Alger),"Ouled Fayet, Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Spécialiste Senior Planning & Geomarketing pour produire une cartographie numérisée...,22 août 2024,CDI
Digital Development Expert (Alger),"Ouled Fayet, Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Digital Development Expert...,22 août 2024,CDI
Manager Superviseur Suivi Audit et ... (Alger),"Bab Ezzouar, Alger, Algérie",ATM Mobilis EPE-SPA recrute un Manager Superviseur Suivi Audit et Reporting pour constituer les dossiers de suivi d'audit...,22 août 2024,CDI
Chargé de Recrutement (Alger),"Alger, Algérie",Huntead recrute un Chargé de Recrutement pour gérer le processus de recrutement de A à Z...,22 août 2024,indifférent
Assistante de Recrutement (Alger),"Alger, Algérie",Huntead recrute une Assistante de Recrutement pour planifier et coordonner les entretiens...,22 août 2024,indifférent
Agent d’Assemblage des Groupes Elec ... (Oran),"Oran, Algérie",Roukfa Power recrute des Agents d’Assemblage des Groupes Electrogène pour assembler les composants des groupes électrogènes en suivant les plans et les instructions techniques...,22 août 2024,indifférent
Commerciale Assistante Administrati ... (Oran),"Oran, Algérie",Roukfa Power recrute une Commerciale Assistante Administrative pour assister les clients dans leurs besoins liés aux produits Roukfa...,22 août 2024,indifférent
Agent de Maintenance Groupe Electro ... (Oran),"Oran, Algérie",Roukfa Power recrute un Agent de Maintenance Groupe Electrogène pour effectuer la maintenance préventive et corrective des groupes électrogènes...,22 août 2024,indifférent
Chargée Achat et Approvisionnement (Alger),"Douera, Alger, Algérie",LABO NEDJMA recrute un Chargée Achat et Approvisionnement pour respecter les délais et les coûts...,22 août 2024,CDD
Agent Polyvalent (Oran),"Oran, Algérie","Larimedia recrute un Agent Polyvalent pour accueillir les clients, répondre à leurs questions, et les orienter...",22 août 2024,indifférent
Caissier (Oran),"Oran, Algérie",Larimedia recrute un Caissier pour la veille à la propreté et à l'organisation du poste de caisse...,22 août 2024,indifférent
Responsable E-commerce (Oran),"Oran, Algérie","Larimedia recrute un Responsable E-commerce pour la supervision du processus de commande, gestion des retours et des réclamations clients...",22 août 2024,indifférent
Cuisinier Healthy (Alger),"El Achour, Alger, Algérie",SARL WODLAND recrute un Cuisinier Healthy pour la créativité culinaire...,22 août 2024,CDD
Chef de Mission Audit (Alger),"Alger, Algérie",ATM Mobilis EPE-SPA recrute un Chef de Mission Audit pour valider les constats d'audit...,22 août 2024,CDI
Directeur Systèmes d'Information (Alger),"Alger, Algérie","Huntead recrute pour le compte d'un client un Directeur des Systèmes d'Information pour diriger les opérations DevOps, en optimisant les processus CI/CD et en assurant l'automatisation des déploiements applicatifs...",22 août 2024,indifférent
Agent de Billetterie (Alger),"Cheraga, Alger, Algérie","Amazone Voyage Algérie recrute un Agent de Billetterie pour encaisser les paiements, gérer la caisse, effectuer les rapprochements...",22 août 2024,indifférent
Technicien en Maintenance Informati ... (Alger),"El Hammamet, Alger, Algérie",RuePC recrute un Technicien en Maintenance Informatique pour gérer et documenter les tickets de support et les interventions réalisées...,22 août 2024,CDI
Ingénieur d'Etat Informatique (DEV) ... (Alger),"Bab Ezzouar, Alger, Algérie",Société Etatique recrute un Ingénieur d'Etat Informatique pour tester les solutions logicielles pour s'assurer qu'elles sont conformes aux exigences...,22 août 2024,indifférent
Agent de Saisie (Alger),"Dar El Beïda, Alger, Algérie",Cardinal Market recrute un Agent de Saisie pour respecter les normes de protection des données...,21 août 2024,indifférent
Développeur Web WordPress (Alger),"Alger, Algérie",INTERIMEO recrute un Développeur Web WordPress pour créer des thèmes personnalisés et adapter des thèmes existants...,21 août 2024,Indépendant-Freelance
Auditeur (Alger),"Alger, Algérie",Agro-Alimentaire Activité recrute un Auditeur pour établir des rapports et conclusions après chaque mission d’audit...,21 août 2024,indifférent
Ingénieur Informatique (Alger),"Alger, Algérie","Agro-Alimentaire Activité recrute un Ingénieur Informatique pour le développement web, logiciels et applications...",21 août 2024,indifférent
Directeur Commercial et Marketing e ... (Alger),"Alger, Algérie","INTERIMEO recrute un Directeur Commercial et Marketing en Immobilier pour fixer des objectifs clairs pour les équipes commerciales et marketing, en ligne avec la vision et les ambitions de l'entreprise...",21 août 2024,indifférent
Business Partner Indirect Procureme ... (Alger),"Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Business Partner Indirect Procurement pour planifier les projets de sourcing et les superviser...,21 août 2024,CDI
Responsable QHSE (Alger),"Bab Ezzouar, Alger, Algérie",Global Cold recrute un Responsable QHSE pour fixer les objectifs...,21 août 2024,CDD
Chef de Ligne de Production Aliment ... (Alger),"Birkhadem, Alger, Algérie","SARL NUTRIFLEX recrute un Chef de Ligne de Production Alimentaire pour encadrer et former les opérateurs, répartir les tâches, et gérer les plannings...",21 août 2024,CDD
Ouvrière (Alger),"Birkhadem, Alger, Algérie",SARL NUTRIFLEX recrute une Ouvrière pour préparer et gérer les matériaux nécessaires...,21 août 2024,CDD
Vétérinaire (Alger),"Alger, Algérie",Société Privée recrute un Vétérinaire pour assurer le suivi des traitements et des récupérations post-opératoires...,21 août 2024,indifférent
Architect Assistant Manager (Alger),"Alger, Algérie","Société Privée recrute un Architect Assistant Manager pour préparer et gérer la documentation des projets, y compris les plans, les rapports, et les présentations...",21 août 2024,indifférent
Cloud & Windows Ops Senior Engineer ... (Alger),"Ouled Fayet, Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Cloud & Windows Ops Senior Engineer pour assurer le support Niveau 2...,21 août 2024,CDI
Technicien de Surfaces (Boumerdes),"Boumerdes, Boumerdes, Algérie",ABC Clean recrute un Technicien de Surfaces pour entretenir les équipements de nettoyage et approvisionner les fournitures nécessaires...,21 août 2024,indifférent
Agent d’Entretien (Boumerdes),"Boumerdes, Boumerdes, Algérie","ABC Clean recrute un agent d'entretien pour préparer le matériel, les produits nettoyants et baliser les zones glissantes...",21 août 2024,indifférent
Agent Administratif Polyvalent (H/F ... (Alger),"El Achour, Alger, Algérie",SARL WODLAND recrute un Agent Administratif Polyvalent pour développer un portefeuille clients et prospects...,21 août 2024,CDD
Agent de Surface (Alger),"Alger, Algérie",Pharmacie Centrale des Hôpitaux recrute une Femme de ménage pour assurer le nettoyage et l'entretien des locaux...,20 août 2024,indifférent
Agent de Sécurité (Alger),"Alger, Algérie",Entreprise Privée recrute un Agent de Sécurité pour communiquer les mesures de sécurité en cas d'incident...,20 août 2024,CDD
Agent Marketing Digital (Alger),"Alger, Algérie","SARL MELB Algérie recrute un Agent Marketing Digital pour créer, gérer et optimiser des campagnes publicitaires en ligne...",20 août 2024,indifférent
Commercial (Boumerdes),"Ouled Moussa, Boumerdes, Algérie",Royal Tigra recrute un Commercial pour prospecter de nouveaux clients et développer le portefeuille client existant...,20 août 2024,indifférent
Serveur (Alger),"Alger, Algérie",SARL SUSHIIMA recrute un Serveur pour préparer et dresser les tables...,20 août 2024,indifférent
Conducteur Transport en Commun (Alger),"Alger, Algérie",Entreprise Publique recrute un Conducteur Transport en Commun pour s’assurer de la possession des documents de circulation...,20 août 2024,indifférent
Commercial (Alger),"Alger, Algérie",Société Privée recrute un Commercial pour identifier et contacter de nouveaux prospects...,20 août 2024,indifférent
Chargée du Contrôle Gestion Niveau ... (Alger),"Alger, Algérie","Importante Banque recrute un Chargée du Contrôle Gestion Niveau 2 pour participer à l’élaboration et au suivi des budgets, ainsi qu’à la révision des prévisions...",20 août 2024,indifférent
Contrôleur Interne Chargé de l’Agen ... (Alger),"Alger, Algérie",Importante Banque recrute un Contrôleur Interne Chargé de l’Agence pour évaluer et atténuer les risques opérationnels...,20 août 2024,indifférent
Ingénieur d'Eau (Alger),"Bir Mourad Raïs, Alger, Algérie",SPA World LAB recrute un Ingénieur d'Eau pour assurer le respect des normes environnementales et réglementaires...,20 août 2024,CDI
Premier Commis de Cuisine (Alger),"Alger, Algérie",Hyatt Regency recrute un Premier Commis de Cuisine pour,20 août 2024,CDI
Marketing & Communication Manager (Alger),"El Biar, Alger, Algérie",MGTA CAMPUS recrute un Marketing & Communication Manager pour lancer des campagnes digitales...,20 août 2024,CDD
Technicien Can Fix It (Alger),"Alger, Algérie",Hyatt Regency recrute un Technicien Can Fix It pour entretenir les chambres et les espaces publics...,20 août 2024,CDI
Storekeeper (Alger),"Alger, Algérie",Hyatt Regency recrute un Storekeeper pour réaliser des inventaires...,20 août 2024,CDI
