Title,Location,Description,Date,Contract Type
Agent Polyvalent (Oran),"Oran, Algérie",CKT Recyclage recrute un Agent Polyvalent pour veiller au respect des normes de sécurité et signaler les incidents ou anomalies...,14 août 2024,indifférent
Ingénieur en Mécanique (Oran),"Oran, Algérie","CKT Recyclage recrute un Ingénieur en Mécanique pour rédiger des spécifications techniques, des rapports d’essai et des documents de conception...",14 août 2024,indifférent
Comptable (Blida),"Blida, Algérie","Domicile Meuble recrute un Comptable pour vérifier, saisir et suivre les factures fournisseurs et clients...",14 août 2024,indifférent
Commercial (Alger),"Alger, Algérie",Domicile Meuble recrute un Commercial pour rendre compte des ventes et des activités au responsable...,14 août 2024,indifférent
Agent d'Entretien (F) (Alger),"Alger, Algérie",Domicile Meuble recrute un Agent d'Entretien (Femme) pour appliquer les procédures de nettoyage et de sécurité en vigueur...,14 août 2024,indifférent
Chargé de Référentiel Data Analyst (Alger),"Alger, Algérie",Entreprise Privée recrute un Chargé de Référentiel Data Analyst pour être support technique dans l'utilisation de l'ERP...,14 août 2024,CDD
Électricien (Oran),"Oran, Algérie",CKT Recyclage recrute un Électricien pour diagnostiquer les pannes et réparer les équipements défectueux...,14 août 2024,indifférent
Chargé Ressources Humaines (Oran),"Oran, Algérie",CKT Recyclage recrute un Chargé Ressources Humaines pour conseiller et accompagner les managers...,14 août 2024,indifférent
Femme de Ménage (Alger),"Alger, Algérie",Société Privée recrute une Femme de Ménage pour maintenir la propreté et l'ordre dans les locaux...,14 août 2024,CDD
Magasinier (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Magasinier pour le groupage des produits destines a une commande...,14 août 2024,CDD
Chauffeur (Alger),"Rouïba, Alger, Algérie",SARL Transport Bedrane Aissa recrute un Chauffeur pour transporter les personnes et/ou les marchandises en toute sécurité...,14 août 2024,indifférent
Analyste Microbiologie (Alger),"Alger, Algérie",SPA BIOTECH-BIOCARE recrute un Analyste Microbiologie pour mise au point et optimisation de méthodes d’analyse microbiologiques...,14 août 2024,CDD
Responsable Entrepôt et Logistique (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Responsable Entrepôt et Logistique pour préparer les commandes de produits sortants...,14 août 2024,CDD
Responsable des Ressources Humaines ... (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Responsable des Ressources Humaines pour mettre en place les outils de suivie et reporting RH...,13 août 2024,CDD
Infographe (Alger),"Kouba, Alger, Algérie",DIGITAL Company recrute un Infographe pour réviser et ajuster les visuels en fonction des retours et des besoins spécifiques...,13 août 2024,indifférent
Commercial (Alger),"Kouba, Alger, Algérie",DIGITAL Company recrute un Commercial pour atteindre les objectifs de vente fixés par l’entreprise...,13 août 2024,indifférent
Délégué Commercial Produits Capilla ... (Sétif),"Sétif, Algérie",Geo Medica recrute un Délégué Commercial Produits Capillaires Morfose pour offrir un soutien continu aux clients et assurer un excellent service après-vente...,13 août 2024,indifférent
Délégué Commercial Produits Capilla ... (Oran),"Oran, Algérie",Geo Medica recrute un Délégué Commercial Produits Capillaires Morfose pour offrir un soutien continu aux clients et assurer un excellent service après-vente...,13 août 2024,indifférent
Délégué Commercial Produits Capilla ... (Alger),"Alger, Algérie",Geo Medica recrute un Délégué Commercial Produits Capillaires Morfose pour offrir un soutien continu aux clients et assurer un excellent service après-vente...,13 août 2024,indifférent
Délégué Médico-Commercial (Tizi Ouzou),"Tizi Ouzou, Algérie",Geo Medica recrute un Délégué Médico-Commercial pour maintenir et développer des relations solides avec les clients existants...,13 août 2024,indifférent
Délégué Médico-Commercial (Alger),"Alger, Algérie",Geo Medica recrute un Délégué Médico-Commercial pour maintenir et développer des relations solides avec les clients existants...,13 août 2024,indifférent
Chef de Produit Médical (Oran),"Oran, Algérie",Geo Medica recrute un Chef de Produit Médical pour définir et mettre en œuvre les stratégies de marketing pour les produits médicaux...,13 août 2024,indifférent
Superviseur Des Ventes (Oran),"Oran, Algérie",Sarl Starouate recrute un Superviseur Des Ventes pour planifier et organiser les tournés de vente des agents commerciaux pour maximiser leur efficacité...,13 août 2024,CDD
Assistante Commerciale (Femme) (Alger),"Alger, Algérie",Sky Travel Services recrute une Assistante Commerciale pour promouvoir les services de l'entreprise...,13 août 2024,indifférent
Stagiaire Commerciale (Alger),"Kouba, Alger, Algérie",EMPLOI PARTNER recrute une Stagiaire Commerciale pour assurer le suivi administratif des contrats...,13 août 2024,Stage
Comptable (Alger),"Alger, Algérie",SPA BIOCARE-BIOTECH recrute un Comptable pour participer au développement du système d'information...,13 août 2024,indifférent
Cadre Comptable (Alger),"Alger, Algérie",Entreprise Publique recrute un Cadre Comptable pour établir l’état des dettes...,13 août 2024,indifférent
Agent de Surface (Alger),"Aïn Benian, Alger, Algérie","La Bergère recrute un Agent de Surface pour effectuer les travaux de finition (polissage, retouche)...",13 août 2024,CDD
Contrôleur de Qualité (Alger),"Aïn Benian, Alger, Algérie",La Bergère recrute un Contrôleur de Qualité pour élaborer le tableau de bord du département...,13 août 2024,CDD
Chauffeur (F) (Alger),"Birtouta, Alger, Algérie","Société Privée recrute un Chauffeur (F) pour offrir un service courtois et professionnel aux passagers, le cas échéant...",13 août 2024,CDD
Agent de Sécurité (Alger),"Alger, Algérie",DJAZAIR PORT WORLD recrute un Agent de Sécurité pour intervenir sur appel ou prévient les incidents...,13 août 2024,CDD
Vendeur DD (Alger),"Alger, Algérie",ROSTOV FOOD DISTRIBUTION recrute un Vendeur DD pour surveiller la réalisation des objectifs de vente...,13 août 2024,indifférent
Ingénieur PVC (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Ingénieur PVC pour réaliser des études de faisabilité et des analyses techniques pour évaluer la viabilité des projets...,13 août 2024,indifférent
Technicien PVC (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Technicien PVC pour préparer et assembler les éléments en PVC selon les plans et les spécifications techniques...,13 août 2024,indifférent
Aide Comptable (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Aide Comptable pour participer au développement du système d'information...,13 août 2024,indifférent
Commercial (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Commercial pour décrocher de nouveaux marchés et promouvoir les produits...,13 août 2024,indifférent
Assistante Administrative (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie","TOP LINE recrute une Assistante Administrative pour accueillir les visiteurs, clients, fournisseurs, les diriger, prise de note de leurs besoins...",13 août 2024,indifférent
Magasinier (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Magasinier pour contrôler qualitativement et quantitativement les marchandises réceptionnées...,13 août 2024,indifférent
Agent Polyvalent (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Agent Polyvalent pour maintenir en état de fonctionnement et de propreté les surfaces de travail...,13 août 2024,indifférent
Ouvrier d'Entretien (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",TOP LINE recrute un Ouvrier d'Entretien pour assurer le bon fonctionnement des systèmes de sécurité...,13 août 2024,indifférent
Ingénieur CFO/CFA (Alger),"Alger, Algérie",ORIGIN/AEA recrute un Ingénieur CFO/CFA pour suivre l’exécution des contrats prestataires...,13 août 2024,CDD
Dessinateur Projeteur (Alger),"Alger, Algérie",ORIGIN/AEA recrute un Dessinateur Projeteur pour établir les dessins et détails d’exécution en béton armé et charpente métallique...,13 août 2024,CDD
Dessinateur Projeteur (Blida),"Blida, Algérie",ORIGIN/AEA recrute un Dessinateur Projeteur pour établir les dessins et détails d’exécution en béton armé et charpente métallique...,13 août 2024,CDD
Dessinateur Projeteur (Tipaza),"Tipaza, Algérie",ORIGIN/AEA recrute un Dessinateur Projeteur pour établir les dessins et détails d’exécution en béton armé et charpente métallique...,13 août 2024,CDD
Ingénieur CFO/CFA (Blida),"Blida, Algérie",ORIGIN/AEA recrute un Ingénieur CFO/CFA pour suivre l’exécution des contrats prestataires...,13 août 2024,CDD
Ingénieur CFO/CFA (Tipaza),"Tipaza, Algérie",ORIGIN/AEA recrute un Ingénieur CFO/CFA pour suivre l’exécution des contrats prestataires...,13 août 2024,CDD
Opérateur Thermoformeuse (Blida),"Boufarik, Blida, Algérie",EURL LA BERGERE recrute un Opérateur Thermoformeuse pour respecter les normes de sécurité et de qualité établies...,13 août 2024,CDD
Agent de Gardiennage (Alger),"Kouba, Alger, Algérie",Société Privée recrute un Agent de Gardiennage pour Assurer la sûreté des locaux...,13 août 2024,CDD
Assistante de Direction (Alger),"Kouba, Alger, Algérie","SARL SADID recrute une Assistante de Direction pour la préparation et le suivi des dossiers, courriers, rapports et présentations...",13 août 2024,CDI
Responsable Commercial (Alger),"Alger, Algérie",EMPLOI PARTNER recrute pour son client TRIPODE MOBILIER un Responsable Commercial pour fixer les objectifs et les axes prioritaires...,13 août 2024,CDD
Agent de Production (Sétif),"El Eulma, Sétif, Algérie",KIMTAL LUXE recrute un Agent de Production pour l'assemblage et fabrication de produits selon les normes de qualité établies...,13 août 2024,indifférent
Responsable Système Management Qual ... (Alger),"Aïn Benian, Alger, Algérie",EURL LA BERGERE recrute un Responsable Système Management Qualité pour préparer les Revues de Directions et rapporte les conclusions...,12 août 2024,CDD
Technicien de Lutte Antiparasitaire ... (Oran),"Oran, Algérie",H3D recrute un Technicien de Lutte Antiparasitaire pour inspecter et diagnostiquer les infestations de parasites...,12 août 2024,indifférent
Technicien de Lutte Antiparasitaire ... (Alger),"Alger, Algérie",H3D recrute un Technicien de Lutte Antiparasitaire pour inspecter et diagnostiquer les infestations de parasites...,12 août 2024,indifférent
Commerciale Itinérante (Alger),"Alger, Algérie",EMPLOI PARTNER recrute un(e) Commercial Itinérant pour la prospection auprès de la clientèle…,12 août 2024,CDI
Commerciale Sédentaire (Alger),"Kouba, Alger, Algérie",EMPLOI PARTNER recrute un(e) Commercial(e) Sédentaire pour décrocher de nouveaux marchés et promouvoir les produits...,12 août 2024,indifférent
Développeur WEB (Alger),"Birtouta, Alger, Algérie",Société Privée recrute un Développeur WEB pour rédiger une documentation technique claire et détaillée...,12 août 2024,indifférent
Délégué Médical (Alger),"Alger, Algérie",Clinique Du Val recrute un Délégué Médical pour organiser des événements et des formations sur les produits...,12 août 2024,indifférent
Chef Comptable (Alger),"Alger, Algérie",Clinique Du Val recrute un Chef Comptable pour assurer la conformité réglementaire et fiscale...,12 août 2024,indifférent
Directeur Marketing (Alger),"Alger, Algérie",ATM Mobilis EPE -SPA recrute un Directeur Marketing pour réaliser le bilan des actions marketing et proposer des axes d'évolution...,12 août 2024,CDI
Commerciale (Alger),"Dar El Beïda, Alger, Algérie","Touatcom recrute une Commerciale pour négocier et conclure des ventes, suivre les commandes...",12 août 2024,indifférent
Secrétaire de Direction (Alger),"Kouba, Alger, Algérie",Sarl AGRO FUSION recrute un Secrétaire de Direction pour gérer les documents et l’archivage...,12 août 2024,indifférent
Electromécanicien (Tipaza),"Damous, Tipaza, Algérie",Entreprise Publique recrute un Electromécanicien pour,12 août 2024,indifférent
Assistante Commerciale (Alger),"Alger-Centre, Alger, Algérie","Bureau d'Affaire - Finaba - recrute une Assistante Commerciale pour traiter les commandes clients, préparer les devis et suivre les livraisons...",12 août 2024,indifférent
Chargé Marketing Digital (Alger),"Bouzareah, Alger, Algérie",Moto Team recrute un Chargé Marketing Digital pour renforcer la réputation de l'entreprise et sa présence sur les médias sociaux...,12 août 2024,CDD
Assistante Commerciale (Alger),"Bouzareah, Alger, Algérie",Moto Team recrute un Assistante Commerciale pour rédiger et traiter les devis...,12 août 2024,CDD
Administrateur des Ventes (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Administrateur des ventes pour assurer la gestion des décomptes livreurs et fin de tournées de livraisons...,12 août 2024,CDD
Contrôleur Centrales des Engagement ... (Alger),"Alger, Algérie",Importante Banque recrute un Contrôleur Centrales des Engagements pour identifier les risques financiers potentiels et proposer des actions correctives...,12 août 2024,indifférent
Archiviste Documentaliste (Alger),"Kouba, Alger, Algérie",SARL SADID recrute un Archiviste Documentaliste pour répertorier les documents placés en archives...,12 août 2024,CDI
Support Maintenance Engineer (El Oued),"El Oued, Algérie","Huntead recrute un Support Maintenance Engineer pour enregistrer, suivre et résoudre les tickets d'incidents...",12 août 2024,indifférent
Support Maintenance Engineer (Annaba),"Annaba, Algérie","Huntead recrute un Support Maintenance Engineer pour enregistrer, suivre et résoudre les tickets d'incidents...",12 août 2024,indifférent
Support Maintenance Engineer (Oran),"Oran, Algérie","Huntead recrute un Support Maintenance Engineer pour enregistrer, suivre et résoudre les tickets d'incidents...",12 août 2024,indifférent
Responsable Commercial (Alger),"Alger, Algérie",Huntead recrute pour son client TRIPODE MOBILIER un Responsable Commercial pour fixer les objectifs et les axes prioritaires...,12 août 2024,CDD
Gérant d'Agence de Voyage (Annaba),"Annaba, Algérie",Hôtel Mimosa Palace recrute un Gérant d'Agence de Voyage pour gérer la politique financière et administrative de l’entreprise...,11 août 2024,indifférent
Gérant d'Hôtel (Annaba),"Annaba, Algérie",Hôtel Mimosa Palace recrute un Gérant d'Hôtel pour concevoir et organiser la prestation hébergement et les services à la clientèle associés...,11 août 2024,indifférent
Chef Cuisinier (Annaba),"Annaba, Algérie",Hôtel Mimosa Palace recrute un Chef Cuisinier pour assurer le bon fonctionnement de la cuisine...,11 août 2024,CDD
Directeur d'Agence de Voyage (Annaba),"Annaba, Algérie",Hôtel Mimosa Palace recrute un Directeur d'Agence de Voyage pour gérer la politique financière et administrative de l’entreprise...,11 août 2024,indifférent
Comptable (cabinet de commissariat ... (Alger),"Kouba, Alger, Algérie",CABINTE DE COMPTABILITE DRARENI KHEIREDDINE recrute un Comptable pour tenir à jour la comptabilité générale et analytique des clients...,11 août 2024,indifférent
Stagiaire en Comptabilité (cabinet ... (Alger),"Kouba, Alger, Algérie",Cabinet de Comptabilité et de Commissariat aux comptes cherche un(e) stagiaire pour une durée de (06) mois pour participer aux enregistrements comptables...,11 août 2024,Stage
Spécialiste HSE (Alger),"Alger, Algérie",SPA Toyota Algérie recrute un Spécialiste HSE pour,11 août 2024,CDI
Assistante Commerciale (Blida),"Blida, Algérie",Family Protect recrute une Assistante Commerciale pour maintenir des bases de données clients...,11 août 2024,indifférent
Superviseur (Blida),"Blida, Algérie",Family Protect recrute un Superviseur pour planifier les horaires et les tâches...,11 août 2024,indifférent
Ingénieur Electromécanique (Alger),"Alger, Algérie",Entreprise Publique recrute un Ingénieur Electromécanique pour assembler des différentes pièces...,11 août 2024,indifférent
Chauffeur Livreur (Alger),"Alger, Algérie",Entreprise Privée recrute un Chauffeur Livreur pour s'assurer de l'exactitude des informations de livraison et de l'intégrité des produits...,11 août 2024,CDD
Cadre Gestion des Stocks (Alger),"Alger, Algérie",Entreprise Publique recrute un Cadre Gestion des Stocks pour gérer les cessions inter projets et filiales...,11 août 2024,indifférent
Informaticien Maintenance Réseau (Alger),"Dar El Beïda, Alger, Algérie",SARL BIOLUX recrute un Informaticien Maintenance Réseau pour diagnostiquer et résoudre les problèmes techniques des pcs...,11 août 2024,indifférent
Ingénieur HSE (Alger),"Alger, Algérie",Entreprise Publique recrute un Ingénieur HSE pour élaborer la revue de direction...,11 août 2024,indifférent
Ingénieur en Génie Civil (Alger),"Alger, Algérie",Entreprise Publique recrute un Ingénieur en Génie Civil pour valider les plans de réalisations...,11 août 2024,indifférent
Ingénieur Travaux Publics (Alger),"Alger, Algérie",Entreprise Publique recrute un Ingénieur Travaux Publics pour préparer et organiser le projet tant sur le plan technique qu'administratif...,11 août 2024,indifférent
Chauffeur Clark (Alger),"Dar El Beïda, Alger, Algérie",SARL BIOLUX recrute un Chauffeur Clark pour empiler des palettes vides...,11 août 2024,indifférent
Magasinier (Annaba),"Annaba, Algérie",SARL BIOLUX recrute un Magasinier pour préparer et assurer les livraisons...,11 août 2024,indifférent
Magasinier (Sétif),"Sétif, Algérie",SARL BIOLUX recrute un Magasinier pour préparer et assurer les livraisons...,11 août 2024,indifférent
Technicien de Maintenance (Boumerdes),"Boumerdes, Algérie",SOCIETE MODERNE D'IMPRIMERIE recrute un Technicien de Maintenance pour diagnostiquer et réparer les pannes...,11 août 2024,indifférent
Commercial (Boumerdes),"Boumerdes, Algérie",SOCIETE MODERNE D'IMPRIMERIE recrute un Commercial pour identifier et démarcher de nouveaux clients...,11 août 2024,indifférent
Infographe (Alger),"Alger, Algérie",Epecia recrute un Infographe pour développer des maquettes et des prototypes pour les projets numériques et imprimés...,11 août 2024,indifférent
Community Manager (Alger),"Alger, Algérie",ZCMC recrute un Community Manager pour gérer les crises potentielles et protéger l'image de la marque en ligne...,11 août 2024,indifférent
Assistant (Alger),"Baraki, Alger, Algérie",Société Privée recrute un Assistant pour assurer le suivi des dossiers et projets en cours...,11 août 2024,CDD
Responsable de Maintenance (Alger),"Alger, Algérie",Société Privée recrute un Responsable de Maintenance pour assurer la gestion du magasin PDR...,11 août 2024,indifférent
Chargé de la Trésorerie (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un(e) Chargé(e) de la Trésorerie pour participer à l'élaboration du budget...,11 août 2024,indifférent
Opérateur sur Machine de Plaquage d ... (Alger),"Les Eucalyptus, Alger, Algérie",Maison Style recrute un Opérateur sur Machine de Plaquage de Panneaux MDF pour suivre les procédures de sécurité et les normes d'hygiène en vigueur sur le site de production...,8 août 2024,indifférent
Gestionnaire des Ressources Humaine ... (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Gestionnaire des Ressources Humaines pour établir et superviser la gestion de la paie...,8 août 2024,CDD
Community Manager (Alger),"Alger, Algérie",Société Privée recrute un Community Manager pour développer la notoriété de la marque sur le web...,8 août 2024,CDD
Gestionnaire de Stock (Alger),"Dar El Beïda, Alger, Algérie",YESPARACOS recrute un Gestionnaire de Stock pour réaliser des inventaires réguliers et résoudre les écarts de stock...,8 août 2024,indifférent
Responsable Commercial (Alger/Tizi Ouzou),"Tizi Ouzou, Algérie",SIAD AUTOMOBILES recrute un Responsable Commercial pour identifier de nouveaux prospects...,8 août 2024,CDD
Responsable Marketing (Tizi Ouzou),"Tizi Ouzou, Algérie",SIAD AUTOMOBILES recrute un Responsable Marketing pour promouvoir l'image de l'entreprise...,8 août 2024,CDD
Responsable Marketing (Alger),"Birtouta, Alger, Algérie",Société Privée recrute un Responsable Marketing pour diagnostiquer les pannes...,8 août 2024,indifférent
Architecte (Bouira),"Bouira, Algérie",FENIX recrute une Architecte pour le déplacements de la prise de mesures et les métrés...,8 août 2024,indifférent
Adjoint Traiteur,"Alger, Algérie",Société Privée recrute un Adjoint Traiteur pour établir un cahier des charges...,8 août 2024,CDD
Gestionnaire Approvisionnement (Alger),"Alger, Algérie",Société Privée recrute un Gestionnaire Approvisionnement pour établir et maintenir des relations avec les fournisseurs clés...,8 août 2024,CDD
Assistante (Alger),"El Harrach, Alger, Algérie",SLIMANI Audition recrute une Assistante pour le traitement du courrier et des emails...,8 août 2024,indifférent
Formateur en Ressources Humaines et ... (Alger),"Alger, Algérie","Safety Integrated Solutions Algerie recrute un Formateur en Ressources Humaines et Management pour dispenser des formations interactives et engageantes en salle ou en ligne, en utilisant divers outils pédagogiques et méthodologies...",8 août 2024,indifférent
Plaquiste (Oran),"Oran, Algérie",Plaza Hôtel Oran recrute un Plaquiste pour respecter les normes de sécurité et d'hygiène sur les chantiers...,8 août 2024,indifférent
Serveuse (Oran),"Oran, Algérie","Plaza Hôtel Oran recrute une Serveuse pour accueillir les clients, les escorter à leur table et présenter le menu...",8 août 2024,indifférent
Chef de Partie Froid (Oran),"Oran, Algérie",Plaza Hôtel Oran recrute un Chef de Partie Froid pour gérer la mise en place et l'organisation du poste de travail...,8 août 2024,indifférent
Chef de Partie Chaud (Oran),"Oran, Algérie",Plaza Hôtel Oran recrute un Chef de Partie Chaud pour former et encadrer les commis de cuisine sous sa responsabilité...,8 août 2024,indifférent
Boulanger (Oran),"Oran, Algérie",Plaza Hôtel Oran recrute un Boulanger pour,8 août 2024,indifférent
Briochard (Oran),"Oran, Algérie",Plaza Hôtel Oran recrute un Briochard pour,8 août 2024,indifférent
Cadre Comptable (Biskra),"Chetma, Biskra, Algérie",Entreprise Publique recrute un Cadre Comptable pour établir le rapprochement des comptes de liaison...,8 août 2024,indifférent
Chargé d'Etudes (Chargé des Opérati ... (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Chargé des Opérations pour signaler toute opération suspecte...,8 août 2024,indifférent
Éducatrice Anglophone (Alger),"Aïn Benian, Alger, Algérie",Crèche Le Monde des innocents Belle Vue recrute une Éducatrice Anglophone pour collaborer avec les parents et le personnel; promouvoir l’utilisation de l’anglais...,8 août 2024,indifférent
Assistant du PDG Chargé de l'Audit (Alger),"Alger, Algérie",LEATHER INDUSTRY recrute un Assistant du PDG Chargé de l'Audit pour diriger des projets spéciaux liés à l’audit...,8 août 2024,indifférent
Chargé d'Études et de Contrôle de G ... (Alger),"Alger, Algérie","LEATHER INDUSTRY recrute un Chargé d'Études et de Contrôle de Gestion pour préparer et suivre les budgets, analyser les écarts...",8 août 2024,indifférent
Directeur des Finances et de la Com ... (Alger),"Alger, Algérie",LEATHER INDUSTRY recrute un Directeur des Finances et de la Comptabilité pour contrôler la régularité de la gestion des stocks...,8 août 2024,indifférent
Éducatrice Francophone (Alger),"Aïn Benian, Alger, Algérie",Crèche Le Monde des innocents Belle Vue recrute une Éducatrice Francophone pour collaborer avec les parents et le personnel ; encourager l'utilisation du français...,8 août 2024,indifférent
Maître d'Hôtel (Oran),"Oran, Algérie","Plaza Hôtel Oran recrute un Maître d'Hôtel pour planifier les services, attribuer les tables et gérer le flux de clients pour optimiser l’efficacité du service...",7 août 2024,indifférent
Hôtesse d'Accueil (Oran),"Oran, Algérie","Plaza Hôtel Oran recrute une Hôtesse d'Accueil pour répondre aux appels, transférer les communications et prendre des messages...",7 août 2024,indifférent
Délégué Commercial (Oran),"Bir El Djir, Oran, Algérie",Rancy Voyage recrute un Délégué Commercial pour identifier et développer de nouvelles opportunités commerciales sur le marché...,7 août 2024,indifférent
Auditeur (Alger),"Rouïba, Alger, Algérie",Société Etatique recrute un Auditeur pour la recommandations et suivi...,7 août 2024,CDD
Ingénieur en Electricité (Alger),"Alger, Algérie",Spa SIDEM ENGINEERING recrute un Ingénieur en Electricité pour concevoir les études relatives aux études d’électricité...,7 août 2024,CDD
Responsable Cellule Audit (Alger),"Rouïba, Alger, Algérie",Société Etatique recrute un Responsable Cellule Audit pour l'analyse des risques...,7 août 2024,CDD
Professeur de Français (Alger),"Aïn Benian, Alger, Algérie",DNL School recrute un(e) Professeur de Français pour participer à la création de matériel pédagogique et à des projets pédagogiques innovants...,7 août 2024,indifférent
Professeur d'Anglais (Alger),"Aïn Benian, Alger, Algérie","DNL School recrute un(e) Professeur d'Anglais pour concevoir et évaluer les examens, les devoirs et les projets ; suivre les progrès des étudiants...",7 août 2024,indifférent
Secrétaire de Direction (Alger),"Alger, Algérie",Entreprise Publique recrute une Secrétaire de Direction pour organiser la logistique des réunions...,7 août 2024,indifférent
Coffreur (Alger),"Alger, Algérie",Hydrotechnique Spa recrute un Coffreur pour assurer la maintenance et la dépose des coffrages...,7 août 2024,indifférent
Agent d'Entretien (Alger),"Alger, Algérie",Hydrotechnique Spa recrute un Agent d'Entretien pour nettoyer et désinfecter les surfaces...,7 août 2024,indifférent
Technicien Supérieur en Informatiqu ... (Alger),"Alger, Algérie",Hydrotechnique Spa recrute un Technicien Supérieur en Informatique pour surveiller et optimiser les performances du réseau...,7 août 2024,indifférent
Soudeur (Alger),"Alger, Algérie",Entreprise Publique recrute un Soudeur pour étuver les électrodes...,7 août 2024,indifférent
Manœuvre (Alger),"Alger, Algérie",Entreprise Publique recrute un Manœuvre pour ragréer les surfaces et réaliser les joints...,7 août 2024,indifférent
Recouvrement et Comptabilité (Alger),"Alger, Algérie",SONELTECH recrute un Recouvrement et Comptabilité pour assurer le suivi et le recouvrement des créances échues...,7 août 2024,CDD
Commercial Service Formation (Alger),"Alger, Algérie",SONELTECH recrute un Commercial Service Formation pour assurer la promotion des différentes offres de formation référencées dans le catalogue...,7 août 2024,CDD
Chef d'Equipe Conditionnement 1 Kg (Boumerdes),"Ouled Moussa, Boumerdes, Algérie",GRD LaBelle SPA recrute un Chef d'Equipe Conditionnement 1 Kg pour veiller à l’application du Règlement intérieur...,7 août 2024,CDD
Agent Polyvalent (Alger),"Cheraga, Alger, Algérie","Dermab Cosmetics recrute un Agent Polyvalent pour l'accueil, gestion du courrier, secrétariat...",7 août 2024,indifférent
Conducteur de Grue Mobile (Alger),"Alger, Algérie",Entreprise Publique recrute un Conducteur de Grue Mobile pour conduire une grue et assurer la manutention des charges...,7 août 2024,indifférent
Chargé d'Etudes (Chargé Clientèle E ... (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Chargé d'Etudes (Chargé Clientèle Entreprise) pour gérer de manière efficace un portefeuille de clients entreprises en établissant et maintenant des relations de qualité,7 août 2024,indifférent
Technicien Réseau Informatique (Alger),"Douera, Alger, Algérie",EURL SMART SOLUTION PROVIDER recrute un Technicien Réseau Informatique pour le brassage des armoires...,7 août 2024,CDD
Assistant Normes et Qualité (Alger),"Alger, Algérie",Société Privée recrute un Assistant Normes et Qualité pour l'assistance administrative de l’équipe qualité..,7 août 2024,CDD
Chargé d'Etudes ( Chargé Clientèle ... (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Chargé d'Etudes pour collaborer étroitement avec les autres membres de l'équipe afin de garantir un service client de qualité...,7 août 2024,indifférent
Chargé des Opérations (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Chargé des Opérations pour signaler toute opération suspecte...,7 août 2024,indifférent
Chargé d'Etudes (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Chargé d'Etudes pour collaborer étroitement avec les autres membres de l'équipe afin de garantir un service client de qualité...,7 août 2024,indifférent
Caissier Principal (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Caissier Principal pour assurer les opérations de retrait et de versement à travers...,7 août 2024,indifférent
Assistante Commerciale (Alger),"Bordj El Kiffan, Alger, Algérie","Chrono Carton recrute une Assistante Commerciale pour rédiger et traiter les devis, commandes et contrats...",6 août 2024,indifférent
Pharmacien (Alger),"Zeralda, Alger, Algérie",Pharmacie Chouieb Mohamed El Amine recrute un Pharmacien pour suivre les stocks et passer les commandes...,6 août 2024,indifférent
Vendeur en Pharmacie (Alger),"Zeralda, Alger, Algérie",Pharmacie Chouieb Mohamed El Amine recrute un Vendeur en Pharmacie pour recevoir et préparer les ordonnances médicales...,6 août 2024,indifférent
CW-Senior Biopharmaceutical Represe ... (Alger),"Alger, Algérie",Société Privée recrute un CW-Senior Biopharmaceutical Representative pour suivre les ventes et les tendances du marché...,6 août 2024,indifférent
Pharmacienne Chargée des Affaires R ... (Alger),"Alger, Algérie",Société Privée recrute une Pharmacienne Chargée des Affaires Règlementaires pour collaborer avec les autorités de régulation et répondre à leurs demandes ou questions...,6 août 2024,indifférent
General Manager (Alger),"Alger, Algérie",Société Privée recrute un General Manager pour diriger et motiver les équipes...,6 août 2024,indifférent
Chargé des Achats Locaux et Interna ... (Béjaïa),"Béjaïa, Algérie",PROFERT AGRI recrute un Chargé(e) des Achats Locaux et Internationaux (H/F) pour envoyer les commandes aux fournisseurs sélectionnés...,6 août 2024,CDD
Agent de Sécurité (Blida),"Guerouaou, Blida, Algérie",SARL SOPI recrute un Agent de Sécurité pour la surveillance des installations...,6 août 2024,CDD
